  Na+                   3.4294E-02  3.4363E-02  1.0000E+00    total
  Ca++                  1.2475E-05  1.2475E-05  1.0000E+00    total
  Zn++                  3.0186E-06  3.0440E-06  1.0000E+00    total
  Fe++                  7.8554E-13  3.0440E-05  1.0000E+00    total
  K+                    1.7132E-05  1.7136E-05  1.0000E+00    total
  Al+++                 2.8639E-05  2.8909E-05  1.0000E+00    total
  Mn++                  2.7314E-07  2.9124E-07  1.0000E+00    total
  Mg++                  2.4686E-06  2.4686E-06  1.0000E+00    total
  H+                    1.1749E-03  2.1248E-03  1.0000E+00    pH
  NH4+                  1.5487E-51  1.3305E-03  1.0000E+00    total
  NO3-                  1.9614E-02  1.9676E-02  1.0000E+00    total
  NO2-                  1.4706E-05  4.3473E-05  1.0000E+00    total
  HCO3-                 8.3980E-07  2.1830E-03  1.0000E+00    total
  Cl-                   3.3472E-05  3.3848E-05  1.0000E+00    total
  SO4--                 3.5740E-05  4.7888E-05  1.0000E+00    total
  HPO4--                5.5237E-08  7.1028E-05  1.0000E+00    total
  F-                    7.3287E-05  7.8954E-05  1.0000E+00    total
  SiO2(aq)              2.5280E-04  2.5280E-04  1.0000E+00    total
  Cu++                  1.4706E-07  1.5737E-07  1.0000E+00    total
  UO2++                 4.3971E-07  3.5413E-05  1.0000E+00    total
  O2(aq)                2.5277E-04  1.2583E-03  1.0000E+00    O2(g)
  Tracer                1.0000E+00  1.0000E+00  1.0000E+00    tota

