8 30
H 1 2 7 6 11 12 17 16
H 2 3 8 7 12 13 18 17
H 3 4 9 8 13 14 19 18
H 4 5 10 9 14 15 20 19 
H 11 12 17 16 21 22 27 26
H 12 13 18 17 22 23 28 27
H 13 14 19 18 23 24 29 28
H 14 15 20 19 24 25 30 29 
0.0 0.0 0.0
1.0 0.0 0.0
2.0 0.0 0.0
3.0 0.0 0.0
4.0 0.0 0.0
0.0 1.0 0.0
1.0 1.0 0.0
2.0 1.0 0.0
3.0 1.0 0.0
4.0 0.0 0.0
0.0 0.0 1.0
1.0 0.0 1.0
2.0 0.0 1.0
3.0 0.0 1.0
4.0 0.0 1.0
0.0 1.0 1.0
1.0 1.0 1.0
2.0 1.0 1.0
3.0 1.0 1.0
4.0 1.0 1.0
0.0 0.0 2.0
1.0 0.0 2.0
2.0 0.0 2.0
3.0 0.0 2.0
4.0 0.0 2.0
0.0 1.0 2.0
1.0 1.0 2.0
2.0 1.0 2.0
3.0 1.0 2.0
4.0 1.0 2.0
