'skdd1' : 'skdd1'
'skdd2' : 'skdd2'
'skdd3' : 'skdd3'
'h2o' : 'H2O'
'ag+' : 'Ag+'
'alo2-' : 'AlO2-'
'am+3' : 'Am+++'
'ar(aq)' : 'Ar(aq)'
'au+' : 'Au+'
'b(oh)3(aq)' : 'B(OH)3(aq)'
'ba+2' : 'Ba++'
'be+2' : 'Be++'
'br-' : 'Br-'
'ca+2' : 'Ca++'
'cd+2' : 'Cd++'
'ce+3' : 'Ce+++'
'cl-' : 'Cl-'
'co+2' : 'Co++'
'cro4-2' : 'CrO4--'
'cs+' : 'Cs+'
'cu+2' : 'Cu++'
'dy+3' : 'Dy+++'
'er+3' : 'Er+++'
'eu+3' : 'Eu+++'
'f-' : 'F-'
'fe+2' : 'Fe++'
'ga+3' : 'Ga+++'
'gd+3' : 'Gd+++'
'h+' : 'H+'
'h2aso4-' : 'H2ASO4-'
'hco3-' : 'HCO3-'
'hpo4-2' : 'HPO4--'
'he(aq)' : 'He(aq)'
'hg+2' : 'Hg++'
'ho+3' : 'Ho+++'
'i-' : 'I-'
'in+3' : 'In+++'
'k+' : 'K+'
'kr(aq)' : 'Kr(aq)'
'la+3' : 'La+++'
'li+' : 'Li+'
'lu+3' : 'Lu+++'
'mg+2' : 'Mg++'
'mn+2' : 'Mn++'
'moo4-2' : 'MOO4--'
'na+' : 'Na+'
'nd+3' : 'Nd+++'
'ne(aq)' : 'Ne(aq)'
'ni+2' : 'Ni++'
'no3-' : 'NO3-'
'np+4' : 'NP++++'
'pb+2' : 'Pb++'
'pd+2' : 'Pd++'
'pr+3' : 'Pr+++'
'pu+4' : 'Pu++++'
'ra+2' : 'Ra++'
'rb+' : 'Rb+'
'reo4-' : 'ReO4-'
'rn(aq)' : 'Rn(aq)'
'ruo4-2' : 'RuO4--'
'sc+3' : 'Sc+++'
'seo3-2' : 'SeO3--'
'sio2(aq)' : 'SiO2(aq)'
'sm+3' : 'Sm+++'
'sn+2' : 'Sn++'
'so4-2' : 'SO4--'
